rowid,inputstate,res_division,votereg,birthyr,age5,CHOICE20_1,CHOICE20_2,CHOICE20_3,CHOICE20_4,CHOICE20_5,CHOICE20_6,CHOICE20_7,CHOICE20_8,CHOICE20_9,CHOICE20_10,CHOICE20_11,CHOICE20_12,CHOICE20_13,CHOICE20_14,CHOICE20_15,CHOICE20_16,CHOICE20_17,CHOICE20_18,CHOICE20_19,CHOICE20_20,CHOICE20_21,CHOICE20_22,CHOICE20_23,CHOICE20_24,CHOICE20_25,CHOICE20_26,CHOICE20_27,RANK20_1,RANK20_2,RANK20_3,RANK20_4,RANK20_5,RANK20_6,RANK20_7,RANK20_8,RANK20_9,RANK20_10,RANK20_11,RANK20_12,RANK20_13,RANK20_14,RANK20_15,RANK20_16,RANK20_17,RANK20_18,RANK20_19,RANK20_20,RANK20_21,RANK20_22,RANK20_23,RANK20_24,RANK20_25,RANK20_26,ANTICHOICE20_1,ANTICHOICE20_2,ANTICHOICE20_3,ANTICHOICE20_4,ANTICHOICE20_5,ANTICHOICE20_6,ANTICHOICE20_7,ANTICHOICE20_8,ANTICHOICE20_9,ANTICHOICE20_10,ANTICHOICE20_11,ANTICHOICE20_12,ANTICHOICE20_13,ANTICHOICE20_14,ANTICHOICE20_15,ANTICHOICE20_16,ANTICHOICE20_17,ANTICHOICE20_18,ANTICHOICE20_19,ANTICHOICE20_20,ANTICHOICE20_21,ANTICHOICE20_22,ANTICHOICE20_23,ANTICHOICE20_24,ANTICHOICE20_25,ANTICHOICE20_26,ANTICHOICE20_27,ANTIGEN20_1_resp,ANTIGEN20_2_resp,ANTIGEN20_3_resp,ANTIGEN20_4_resp,ANTIGEN20_5_resp,ANTIGEN20_6_resp,ANTIGEN20_7_resp,ANTIGEN20_8_resp,ANTIGEN20_9_resp,ANTIGEN20_10_resp,ANTIGEN20_11_resp,ANTIGEN20_12_resp,ANTIGEN20_13_resp,ANTIGEN20_14_resp,ANTIGEN20_15_resp,ANTIGEN20_16_resp,ANTIGEN20_17_resp,ANTIGEN20_18_resp,ANTIGEN20_19_resp,ANTIGEN20_20_resp,ANTIGEN20_21_resp,ANTIGEN20_22_resp,ANTIGEN20_23_resp,ANTIGEN20_24_resp,ANTIGEN20_25_resp,ANTIGEN20_26_resp,cand_allocator_col_1,cand_allocator_wom_1,cand_allocator_yng_1,cand_allocator_m4a_1,cand_allocator_abt_1,cand_allocator_ira_1,cand_allocator_rep_1,cand_allocator_fp_1,cand_allocator_exp_1,cand_allocator_leg_1,cand_allocator_ice_1,cand_allocator_env_1,cand_allocator_min_1,cand_allocator_rur_1,cand_allocator_tax_1,cand_allocator_cha_1,cand_allocator_con_1,djtelect,app_dtrmp,turnout16,presvote16post,presvote16post_t,turnout18post,housevote18post,housevote18post_t,pid3,pid3_t,pid7,pid3_condensed,ideo5,ideo3,pp18_polactions_1,pp18_polactions_2,pp18_polactions_3,pp18_polactions_4,pp18_polactions_5,pp18_polactions_6,pp18_polactions_7,pp18_polactions_8,pp18_polactions_t,state_election_type,primaryvote,partyvote,gender,educ,educ4,educ2,race,race_t,race4,race3,race2,hispanic,anychild,child18,marstat,urbancity,urbancity_t,faminc_new,employ,job,union_combined_1,union_combined_5,union_combined_2,union_combined_6,union_combined_3,union_combined_4,newsint,religpew,religpew_t,pew_bornagain,pew_churatd,faminc5,weight
1,39,3,1,1990,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,1,2,2,1,1,1,2,1,2,5,,1,1,1,1,,1,1,1,1,1,1,1,,,1,1,1,,,1,1,1,,1,0,0,8,52,37,0,0,0,0,0,0,3,0,0,0,0,0,2,4,1,3,__NA__,1,1,__NA__,1,__NA__,1,1,1,1,2,2,2,2,1,2,2,2,__NA__,2,1,1,1,5,3,2,1,__NA__,1,1,1,2,1,1,1,2,__NA__,13,1,__NA__,2,2,2,2,1,2,1,7,__NA__,2,6,5,1.45
2,51,5,1,1962,4,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,1,2,1,2,2,2,2,1,2,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,,,,2,,2,,,,,2,,2,,2,,,,2,,,,,,,0,0,0,0,3,22,3,31,0,0,0,0,0,18,0,3,20,1,1,1,2,__NA__,1,2,__NA__,3,__NA__,4,3,4,3,2,2,2,2,2,2,2,1,__NA__,2,1,1,1,3,2,1,1,__NA__,1,1,1,2,1,1,1,2,__NA__,11,1,__NA__,2,2,2,2,1,2,1,1,__NA__,2,5,4,0.678
3,48,7,1,1969,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,2,7,__NA__,2,,__NA__,1,__NA__,2,1,3,2,2,2,2,2,1,2,2,2,__NA__,2,3,3,2,4,2,1,3,__NA__,3,3,2,1,1,1,1,1,__NA__,7,2,__NA__,2,2,2,2,1,2,2,1,__NA__,1,2,3,0.3814
4,53,9,1,1970,3,2,1,2,1,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,,1,,4,,,2,,,,,,,,,3,,,,,,,,,,,2,2,2,2,2,1,2,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,,,,,,1,,1,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,0,0,0,20,20,0,0,0,0,0,20,20,10,0,10,0,0,2,4,1,1,__NA__,1,1,__NA__,1,__NA__,1,1,1,1,2,2,2,2,2,2,2,1,__NA__,2,1,1,1,2,1,1,1,__NA__,1,1,1,2,1,2,6,2,__NA__,4,1,__NA__,2,2,2,2,1,2,1,9,__NA__,2,6,2,1.388
5,2,9,1,1975,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,__NA__,1,2,__NA__,3,__NA__,4,3,3,2,2,2,2,2,1,2,2,2,__NA__,1,2,3,1,6,4,2,6,__NA__,4,1,2,2,1,1,1,4,__NA__,6,6,__NA__,2,2,2,2,1,2,2,11,__NA__,2,5,2,1.4393
6,12,5,1,1978,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,1,2,1,1,1,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,3,3,3,,3,,3,3,3,,,,,3,3,,,,,3,,,,,,,0,0,50,0,0,0,0,0,0,0,0,50,0,0,0,0,0,1,4,1,1,__NA__,1,2,__NA__,2,__NA__,7,2,4,3,2,2,2,2,2,2,2,1,__NA__,2,1,1,2,6,4,2,1,__NA__,1,1,1,2,1,1,1,2,__NA__,13,1,__NA__,2,2,2,2,1,2,1,5,__NA__,2,6,5,0.9528
7,26,3,1,1958,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,__NA__,1,2,__NA__,2,__NA__,6,2,5,3,2,2,2,2,1,1,2,2,__NA__,2,1,2,1,5,3,2,1,__NA__,1,1,1,2,1,2,1,2,__NA__,10,1,__NA__,2,2,2,2,1,2,1,1,__NA__,1,1,4,0.9219
8,36,2,1,1987,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,,,,,,3,,,1,,,,,,,,,2,,,,,,,,,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,,,,,,,,,,3,,,,,,,,,,,,,,,,0,19,15,25,10,0,0,0,0,0,14,0,17,0,0,0,0,2,3,1,2,__NA__,1,3,__NA__,1,__NA__,2,1,2,1,2,2,1,2,1,2,2,2,__NA__,2,2,1,2,3,2,1,1,__NA__,1,1,1,2,1,1,1,1,__NA__,2,2,__NA__,2,2,2,2,1,2,2,1,__NA__,2,3,1,1.3401
9,37,5,1,1982,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,29,29,40,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,3,1,6,__NA__,1,1,__NA__,1,__NA__,2,1,3,2,2,2,2,2,2,2,2,1,__NA__,2,1,1,1,5,3,2,1,__NA__,1,1,1,2,2,2,5,2,__NA__,8,1,__NA__,2,2,2,2,1,2,2,1,__NA__,2,6,3,0.4831
10,24,5,1,1996,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,,,1,,3,,,,,,,,,,,2,,,,,,,,,,,2,1,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,1,1,,1,,1,,,,,,,,,,,,,,,,,,,,9,10,10,10,8,7,0,8,8,8,22,0,0,0,0,0,0,2,4,1,1,__NA__,1,1,__NA__,1,__NA__,1,1,2,1,2,2,2,2,1,2,2,2,__NA__,2,2,1,2,5,3,2,2,__NA__,2,2,2,2,2,2,5,2,__NA__,5,2,__NA__,2,2,2,2,2,1,2,11,__NA__,1,2,2,1.8065
11,18,3,1,1964,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,__NA__,1,2,__NA__,2,__NA__,6,2,4,3,1,1,1,2,1,1,2,2,__NA__,2,1,2,2,6,4,2,1,__NA__,1,1,1,2,1,1,1,2,__NA__,9,2,__NA__,2,2,2,2,1,2,1,1,__NA__,1,2,3,1.1043
12,17,3,1,1997,1,1,1,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,,,1,,,,,,,,3,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,18,0,8,14,0,0,0,0,0,1,41,8,0,9,0,1,2,4,1,1,__NA__,1,1,__NA__,1,__NA__,1,1,1,1,2,1,2,2,1,2,2,2,__NA__,2,1,1,2,3,2,1,1,__NA__,1,1,1,2,2,2,5,2,__NA__,97,8,__NA__,2,2,2,2,2,1,2,9,__NA__,2,6,6,2.2051
13,53,9,1,1951,5,1,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,2,4,,,3,,,,,,,,,,,,,,,,,,,,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,,1,,,,,,,5,,,,,,,,5,,,,,,,,,,0,0,0,20,20,0,10,5,0,5,5,15,0,0,0,0,20,2,4,1,1,__NA__,1,1,__NA__,1,__NA__,1,1,1,1,2,2,1,2,1,2,2,2,__NA__,2,1,1,2,2,1,1,1,__NA__,1,1,1,2,2,2,6,2,__NA__,2,5,__NA__,2,2,2,2,1,2,1,1,__NA__,2,5,1,2.7659
14,29,4,1,1927,5,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,1,,,2,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,0,10,11,21,12,0,0,0,14,15,0,0,0,5,0,0,12,2,4,1,1,__NA__,1,1,__NA__,1,__NA__,2,1,3,2,2,2,1,2,2,2,2,2,__NA__,2,1,1,1,6,4,2,6,__NA__,4,1,2,2,2,2,1,2,__NA__,11,5,__NA__,2,2,2,2,1,2,1,1,__NA__,2,6,4,0.7453
15,4,8,1,1991,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,__NA__,1,2,__NA__,2,__NA__,7,2,5,3,1,1,2,2,2,1,2,2,__NA__,2,1,2,2,5,3,2,7,Nunya,4,1,2,2,1,1,1,2,__NA__,11,7,__NA__,2,2,2,2,1,2,1,3,__NA__,2,1,4,0.8029
16,36,2,1,1982,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,,,,,3,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,1,2,2,2,1,1,2,2,2,2,1,2,2,2,1,1,2,2,2,2,1,2,,,,,,1,,,,3,3,,,,,3,,,,3,3,,,,,3,0,60,0,0,0,0,0,0,4,36,0,0,0,0,0,0,0,2,4,1,1,__NA__,1,1,__NA__,1,__NA__,1,1,3,2,2,2,2,2,2,2,2,1,__NA__,2,1,1,2,2,1,1,2,__NA__,2,2,2,2,1,1,5,1,__NA__,3,4,__NA__,2,2,2,2,1,2,7,11,__NA__,2,2,1,0.7861
17,29,4,1,1988,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,2,7,__NA__,1,1,__NA__,3,__NA__,3,3,2,1,2,1,2,2,2,2,2,2,__NA__,2,4,3,1,6,4,2,3,__NA__,3,3,2,1,1,1,1,3,__NA__,9,1,__NA__,2,1,2,2,2,2,3,4,__NA__,1,1,3,0.3956
18,28,6,1,1956,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,__NA__,1,2,__NA__,3,__NA__,5,3,5,3,2,2,2,2,2,2,2,1,__NA__,2,2,2,2,5,3,2,2,__NA__,2,2,2,2,1,1,1,2,__NA__,4,1,__NA__,2,2,2,2,1,2,1,1,__NA__,1,2,2,1.2845
19,22,7,1,1961,4,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,4,,2,,1,,,,,,,,,,,3,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,14,10,18,22,1,2,2,2,2,1,0,1,3,1,3,2,16,2,4,1,1,__NA__,1,1,__NA__,1,__NA__,1,1,1,1,2,2,2,2,2,2,2,1,__NA__,2,1,1,1,3,2,1,2,__NA__,2,2,2,2,2,2,5,2,__NA__,6,5,__NA__,2,2,2,2,1,2,1,1,__NA__,1,5,2,0.8249
20,36,2,1,1980,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,30,0,20,10,0,0,0,20,10,5,0,0,0,0,0,0,5,2,4,2,7,__NA__,2,,__NA__,1,__NA__,1,1,2,1,2,2,2,2,2,2,2,1,__NA__,2,2,1,2,6,4,2,2,__NA__,2,2,2,2,1,1,5,2,__NA__,4,1,__NA__,2,2,2,2,1,2,2,1,__NA__,1,2,2,0.5122
21,6,9,1,1961,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,1,4,__NA__,1,3,__NA__,3,__NA__,4,3,3,2,2,2,2,2,1,2,2,2,__NA__,2,1,3,2,6,4,2,1,__NA__,1,1,1,2,1,2,1,2,__NA__,10,1,__NA__,1,2,2,2,2,2,1,10,__NA__,2,6,4,0.4932
22,4,8,1,1947,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,__NA__,1,2,__NA__,2,__NA__,7,2,4,3,2,2,1,2,2,2,2,2,__NA__,2,1,2,2,4,2,1,1,__NA__,1,1,1,2,1,2,4,1,__NA__,9,5,__NA__,2,2,2,2,1,2,1,1,__NA__,2,1,3,0.6259
23,1,6,1,1987,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,__NA__,1,2,__NA__,2,__NA__,7,2,5,3,2,2,2,2,2,2,2,1,__NA__,2,1,2,2,1,1,1,1,__NA__,1,1,1,2,2,2,5,3,__NA__,2,6,__NA__,2,2,2,2,1,2,3,1,__NA__,2,5,1,0.8973
24,48,7,1,1960,4,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,1,,,,2,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,1,1,,,,,,,,,,,,,1,,,1,1,,,,,,,,10,10,0,0,35,0,0,0,15,15,0,15,0,0,0,0,0,2,4,1,1,__NA__,1,1,__NA__,1,__NA__,1,1,1,1,2,2,2,2,2,2,2,1,__NA__,2,1,1,2,6,4,2,1,__NA__,1,1,1,2,2,2,5,2,__NA__,4,7,__NA__,2,2,2,2,1,2,1,12,__NA__,2,6,2,0.8944
25,6,9,1,1962,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,7,__NA__,2,,__NA__,3,__NA__,4,3,4,3,2,2,2,2,2,2,2,1,__NA__,2,2,3,2,4,2,1,1,__NA__,1,1,1,2,1,1,1,2,__NA__,3,1,__NA__,2,2,2,2,1,2,2,3,__NA__,1,2,1,0.6485
26,4,8,1,1982,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,1,,,,,2,,,,,,,,,,,,,,,,,,,,1,2,1,1,2,1,2,1,1,2,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,5,,5,3,,3,,3,3,,5,,,3,,5,,,,,,,,,,,0,0,0,20,15,5,0,0,0,0,5,35,10,0,10,0,0,2,4,1,4,__NA__,1,1,__NA__,4,Democratic Socialist,3,3,1,1,2,2,2,2,1,1,2,2,__NA__,2,1,1,2,5,3,2,1,__NA__,1,1,1,2,2,2,5,2,__NA__,4,1,__NA__,2,2,2,2,1,2,1,9,__NA__,2,6,2,0.5061
27,17,3,1,1985,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,,,,,,,,,,,,,,,2,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,10,0,10,5,10,0,0,0,0,25,0,0,0,10,2,4,2,7,__NA__,2,,__NA__,1,__NA__,2,1,3,2,2,2,2,2,2,2,2,1,__NA__,2,3,1,2,5,3,2,4,__NA__,4,1,2,2,2,2,5,2,__NA__,8,2,__NA__,2,2,2,2,1,2,3,6,__NA__,2,4,3,0.9748
28,12,5,1,1976,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,1,3,__NA__,1,3,__NA__,4,no party,4,3,6,2,2,2,2,2,2,2,2,1,__NA__,2,5,3,1,4,2,1,1,__NA__,1,1,1,2,1,2,3,3,__NA__,3,1,__NA__,2,2,2,2,1,2,2,11,__NA__,2,6,1,0.6736
29,26,3,1,1961,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,1,2,__NA__,1,1,__NA__,3,__NA__,4,3,3,2,2,2,2,2,2,2,2,1,__NA__,2,2,2,2,4,2,1,6,__NA__,4,1,2,2,1,2,3,2,__NA__,8,1,__NA__,1,2,2,2,2,2,2,11,__NA__,2,6,3,0.8523
30,24,5,1,1990,1,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,,,,2,,,,,,1,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,16,0,0,0,17,0,0,14,17,0,36,0,0,0,0,2,3,1,1,__NA__,1,1,__NA__,1,__NA__,1,1,3,2,2,2,2,2,2,2,2,1,__NA__,2,2,1,1,5,3,2,2,__NA__,2,2,2,2,1,1,1,1,__NA__,3,1,__NA__,2,2,2,2,1,2,3,1,__NA__,1,2,1,2.2483
31,55,3,1,1967,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,25,0,0,0,0,0,0,0,0,0,0,34,23,0,18,2,2,1,1,__NA__,1,1,__NA__,1,__NA__,2,1,4,3,2,2,2,2,2,2,2,1,__NA__,2,1,1,2,3,2,1,1,__NA__,1,1,1,2,1,2,1,1,__NA__,10,1,__NA__,2,2,2,2,1,2,3,11,__NA__,1,3,4,0.9063
32,39,3,1,1954,5,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,71,0,21,0,0,0,0,0,0,0,0,8,0,0,0,0,3,4,1,1,__NA__,1,1,__NA__,1,__NA__,1,1,2,1,2,2,2,2,2,2,2,1,__NA__,2,1,1,2,2,1,1,2,__NA__,2,2,2,2,1,2,5,2,__NA__,1,5,__NA__,2,2,2,2,1,2,4,1,__NA__,1,2,1,1.0782
33,42,2,1,1947,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,__NA__,1,2,__NA__,2,__NA__,7,2,5,3,2,2,1,2,2,2,2,2,__NA__,2,1,2,2,4,2,1,1,__NA__,1,1,1,2,1,2,3,4,__NA__,3,5,__NA__,2,2,2,2,1,2,1,1,__NA__,2,5,1,0.4999
34,48,7,1,1955,4,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,,2,,,,,,,,,,,,,,,,,,,,,,,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,,1,,,,,,,,,,,,,1,,,,,,,,,,,,0,0,0,0,10,0,0,20,0,10,0,10,0,10,20,10,10,2,4,1,1,__NA__,1,1,__NA__,1,__NA__,1,1,3,2,2,1,1,2,1,1,2,2,__NA__,2,1,1,1,3,2,1,1,__NA__,1,1,1,2,1,2,4,4,__NA__,5,2,__NA__,2,2,2,2,1,2,1,1,__NA__,1,4,2,0.57
35,1,6,1,1992,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,__NA__,1,2,__NA__,2,__NA__,7,2,5,3,2,2,2,2,1,2,2,2,__NA__,2,1,2,1,3,2,1,1,__NA__,1,1,1,2,2,2,5,4,__NA__,1,4,__NA__,2,2,2,2,1,2,1,11,__NA__,2,6,1,6.0591
36,12,5,1,1959,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,__NA__,1,2,__NA__,3,__NA__,5,3,5,3,2,2,1,2,2,2,2,2,__NA__,2,1,2,1,2,1,1,5,__NA__,4,1,2,2,1,2,1,4,__NA__,13,5,__NA__,2,2,2,2,1,2,1,11,__NA__,2,6,5,1.6716
37,47,6,1,1971,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,1,3,__NA__,1,1,__NA__,3,__NA__,4,3,3,2,2,2,2,2,2,2,2,1,__NA__,2,1,3,2,3,2,1,1,__NA__,1,1,1,2,1,2,1,2,__NA__,3,6,__NA__,2,2,2,2,1,2,3,2,__NA__,2,5,1,0.4368
38,6,9,1,1953,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,__NA__,1,2,__NA__,2,__NA__,7,2,4,3,2,2,2,2,2,1,2,2,__NA__,2,2,2,2,5,3,2,4,__NA__,4,1,2,2,1,2,1,2,__NA__,11,1,__NA__,2,1,2,2,2,2,1,2,__NA__,2,4,4,1.4047
